Job,Salary,Company,Location
Técnico de servicio,"$13,000 - $14,000  Mensual",STEREN,"El Salto, Jal."
GESTOR DE DATOS DE PRUEBA JR,Sueldo no mostrado por la empresa,Getecsa,"Miguel Hidalgo, CDMX"
Administrativo de Ventas,"$9,500  Mensual","Autofin, S.A.","Acapulco de Juárez, Gro."
Cajero $12 mil más propinas Plaza Auriga,"$12,000 - $14,000  Mensual",SAS EMPRESARIAL DE SAL...,"San Pedro Garza García, N.L."
ASESOR DE SERVICIO,"$14,000  Mensual",Asoc. Mexicana de Dist...,"Zapopan, Jal."
"Auxiliar de Tesoreria, Metro Mixcoac","$14,000 - $15,000  Mensual",SAS EMPRESARIAL DE SAL...,"Mixcoac, Benito Juárez, CDMX"
Promotor de Ventas TDC Citibanamex Concordia Apodaca,"$11,340 - $11,341  Mensual",Banamex,"Apodaca, N.L."
Auxiliar administrativo,"$8,500 - $9,000  Mensual",GENERAL CARRIERS DE ME...,"Ciudad Hidalgo Centro, Suchiate, Chis."
Auxiliar administrativo,"$6,500 - $9,000  Mensual",GENERAL CARRIERS DE ME...,"Bosques de la Trinidad, Tuxtla Gutiérrez, Chis."
CAJERO BANCARIO - TIJUANA,"$10,800  Mensual",BANCO DEL BAJIO S.A.,"Tijuana, BC."
Atención al cliente / Call Center,"$6,999 - $7,000  Mensual",Servicios Empresariale...,"Naucalpan de Juárez, Edo. Méx.​"
Ejecutivo de ventas experiencia en hotelería,"$12,000 - $12,001  Mensual",Hoteles City Express,"Puebla, Pue."
ALMACENISTA,"$6,600  Mensual",Asoc. Mexicana de Dist...,"Benito Juárez, CDMX"
Electronic Design Engineer,Sueldo no mostrado por la empresa,Sanmina SCI,"Tlajomulco de Zúñiga, Jal."
Analista de nóminas,"$10,000 - $14,000  Mensual",IMILE DELIVERY SERVICE...,"Azcapotzalco, CDMX"
Analista de productos,"$10,000 - $11,000  Mensual",TERRAWIND REPS SA DE CV,"Del Valle Sur, Benito Juárez, CDMX"
Auxiliar administrativo,"$10,400  Mensual",Grupo Comrap Administr...,"Gustavo A. Madero, CDMX"
Auxiliar administrativo,"$8,500 - $9,000  Mensual",GENERAL CARRIERS DE ME...,"Ciudad Hidalgo Centro, Suchiate, Chis."
